measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-01T09:00:00Z,2010-02-01,6.38,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-02T09:00:00Z,2010-02-02,17.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-03T09:00:00Z,2010-02-03,7.92,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-04T09:00:00Z,2010-02-04,9.04,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-05T09:00:00Z,2010-02-05,9.05,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-06T09:00:00Z,2010-02-06,6.24,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-07T09:00:00Z,2010-02-07,5.29,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-08T09:00:00Z,2010-02-08,4.9,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-09T09:00:00Z,2010-02-09,4.39,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-10T09:00:00Z,2010-02-10,4.01,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-11T09:00:00Z,2010-02-11,3.73,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-12T09:00:00Z,2010-02-12,3.71,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-13T09:00:00Z,2010-02-13,3.58,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-14T09:00:00Z,2010-02-14,3.42,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-15T09:00:00Z,2010-02-15,7.99,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-16T09:00:00Z,2010-02-16,8.52,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-17T09:00:00Z,2010-02-17,5.22,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-18T09:00:00Z,2010-02-18,6.08,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-19T09:00:00Z,2010-02-19,5.82,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/b17f0895-5a5d-442c-bbad-fcf3280aae2f-flow-m-86400-m3s-qualified,2010-02-20T09:00:00Z,2010-02-20,4.68,Complete,Good,
