measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-02T09:00:00Z,2010-02-02,72.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-03T09:00:00Z,2010-02-03,28.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-04T09:00:00Z,2010-02-04,28.0,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-05T09:00:00Z,2010-02-05,33.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-06T09:00:00Z,2010-02-06,23.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-07T09:00:00Z,2010-02-07,18.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-08T09:00:00Z,2010-02-08,16.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-09T09:00:00Z,2010-02-09,14.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-10T09:00:00Z,2010-02-10,12.9,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-11T09:00:00Z,2010-02-11,11.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-12T09:00:00Z,2010-02-12,11.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-13T09:00:00Z,2010-02-13,11.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-14T09:00:00Z,2010-02-14,10.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-15T09:00:00Z,2010-02-15,19.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-16T09:00:00Z,2010-02-16,28.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-17T09:00:00Z,2010-02-17,18.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-18T09:00:00Z,2010-02-18,17.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-19T09:00:00Z,2010-02-19,17.3,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-20T09:00:00Z,2010-02-20,14.0,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-21T09:00:00Z,2010-02-21,12.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-22T09:00:00Z,2010-02-22,11.4,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/1a707394-5443-4c2d-b903-8ad6e243a45e-flow-m-86400-m3s-qualified,2010-02-23T09:00:00Z,2010-02-23,10.7,Complete,Good,
