measure,dateTime,date,value (m3/s),completeness,quality,qcode
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-01T09:00:00Z,2010-02-01,7.07,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-02T09:00:00Z,2010-02-02,24.8,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-03T09:00:00Z,2010-02-03,10.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-04T09:00:00Z,2010-02-04,9.96,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-05T09:00:00Z,2010-02-05,13.2,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-06T09:00:00Z,2010-02-06,9.68,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-07T09:00:00Z,2010-02-07,7.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-08T09:00:00Z,2010-02-08,6.53,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-09T09:00:00Z,2010-02-09,5.76,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-10T09:00:00Z,2010-02-10,5.06,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-11T09:00:00Z,2010-02-11,4.5,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-12T09:00:00Z,2010-02-12,4.38,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-13T09:00:00Z,2010-02-13,4.24,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-14T09:00:00Z,2010-02-14,3.95,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-15T09:00:00Z,2010-02-15,6.15,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-16T09:00:00Z,2010-02-16,11.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-17T09:00:00Z,2010-02-17,7.78,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-18T09:00:00Z,2010-02-18,6.77,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-19T09:00:00Z,2010-02-19,6.58,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-20T09:00:00Z,2010-02-20,5.35,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-21T09:00:00Z,2010-02-21,4.73,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-22T09:00:00Z,2010-02-22,4.22,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-23T09:00:00Z,2010-02-23,3.9,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-24T09:00:00Z,2010-02-24,5.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-25T09:00:00Z,2010-02-25,9.86,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-26T09:00:00Z,2010-02-26,33.7,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-27T09:00:00Z,2010-02-27,15.1,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-02-28T09:00:00Z,2010-02-28,9.73,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-01T09:00:00Z,2010-03-01,7.17,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-02T09:00:00Z,2010-03-02,6.24,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-03T09:00:00Z,2010-03-03,5.6,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-04T09:00:00Z,2010-03-04,4.85,Complete,Good,
http://environment.data.gov.uk/hydrology/id/measures/3d095df8-dd9d-4b1b-8cb3-39982654c9b4-flow-m-86400-m3s-qualified,2010-03-05T09:00:00Z,2010-03-05,4.38,Complete,Good,
